TIMESTAMP,LNG,LAT,DEVICE_NAME,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW,X,Y,Z
20190805 12:00 , -118.323411 , 33.893916 , AstroPiOTA , 42.15666580200195 , 35.453269958496094 , 1017.511962890625 , 354.4792131622789 , 97.27375098938072 , 216.78951121937504 , 0.09770569950342178 , 1.0032190084457397 , -0.12798617780208588
20190805 12:30 , -118.323411 , 33.893916 , AstroPiOTA , 42.35832977294922 , 33.814449310302734 , 1017.25927734375 , 354.4124706881436 , 97.27200929114237 , 218.75015800176223 , 0.09940282255411148 , 1.0029761791229248 , -0.12991440296173096
20190805 13:00 , -118.323411 , 33.893916 , AstroPiOTA , 42.50499725341797 , 35.038597106933594 , 1017.122314453125 , 354.4477682520006 , 97.38506941247358 , 217.65906260260937 , 0.09867548942565918 , 1.00224769115448 , -0.12967339158058167
20190805 13:30 , -118.323411 , 33.893916 , AstroPiOTA , 42.394996643066406 , 34.13823699951172 , 1017.048095703125 , 354.58495857789586 , 97.65031980889103 , 214.61995627103386 , 0.09479635208845139 , 1.0032190084457397 , -0.1354580670595169
20190805 14:00 , -118.323411 , 33.893916 , AstroPiOTA , 42.17499923706055 , 34.67788314819336 , 1016.66357421875 , 354.70412488834506 , 97.53919946128408 , 214.3422954208945 , 0.09406901150941849 , 1.0034617185592651 , -0.1323246955871582
20190805 14:30 , -118.323411 , 33.893916 , AstroPiOTA , 42.08333206176758 , 35.4617919921875 , 1016.705322265625 , 354.69475301503013 , 97.60784969263189 , 215.1320838550014 , 0.09358412027359009 , 1.002490520477295 , -0.1325657218694687
20190805 15:00 , -118.323411 , 33.893916 , AstroPiOTA , 41.71666717529297 , 35.001670837402344 , 1016.5009765625 , 354.71922046018443 , 97.6608929417262 , 214.10504196988492 , 0.09382656961679459 , 1.0029761791229248 , -0.13304777443408966
20190805 15:30 , -118.323411 , 33.893916 , AstroPiOTA , 41.698333740234375 , 35.36238479614258 , 1016.332275390625 , 354.68556769125695 , 97.65652845084657 , 215.13237072294655 , 0.09334167838096619 , 1.002004861831665 , -0.13328881561756134
20190805 16:00 , -118.323411 , 33.893916 , AstroPiOTA , 41.44166564941406 , 35.575401306152344 , 1015.77783203125 , 354.6475060352202 , 97.56986701065745 , 214.6990498616226 , 0.09309922903776169 , 1.002490520477295 , -0.13328881561756134
20190805 16:30 , -118.323411 , 33.893916 , AstroPiOTA , 41.111663818359375 , 35.260135650634766 , 1015.548583984375 , 354.7055438601451 , 97.5843879928329 , 215.2862412245686 , 0.09358412027359009 , 1.0032190084457397 , -0.13328881561756134
20190805 17:00 , -118.323411 , 33.893916 , AstroPiOTA , 40.85499954223633 , 35.25445556640625 , 1015.390869140625 , 354.72034744139745 , 97.6792524902152 , 214.64696283901208 , 0.09285678714513779 , 1.0029761791229248 , -0.13136059045791626
20190805 17:30 , -118.323411 , 33.893916 , AstroPiOTA , 40.48833465576172 , 36.163333892822266 , 1015.227783203125 , 354.75703366809006 , 97.64409750655715 , 215.3452813797542 , 0.09285678714513779 , 1.002004861831665 , -0.13425292074680328
20190805 18:00 , -118.323411 , 33.893916 , AstroPiOTA , 39.938331604003906 , 36.42747497558594 , 1015.172119140625 , 354.75656622701877 , 97.58339761540324 , 215.12605962815346 , 0.09115966409444809 , 1.0017621517181396 , -0.1354580670595169
20190805 18:30 , -118.323411 , 33.893916 , AstroPiOTA , 39.33333206176758 , 36.46439743041992 , 1014.76318359375 , 354.79330239946967 , 97.6583657717333 , 215.58059505703946 , 0.09285678714513779 , 1.0010337829589844 , -0.1337708681821823
20190805 19:00 , -118.323411 , 33.893916 , AstroPiOTA , 39.938331604003906 , 34.95338821411133 , 1014.949951171875 , 354.82398488988184 , 97.53557946102399 , 215.33761790750543 , 0.09140210598707199 , 1.0029761791229248 , -0.1323246955871582
20190805 19:30 , -118.323411 , 33.893916 , AstroPiOTA , 39.49833297729492 , 35.547000885009766 , 1015.0126953125 , 354.78993340866157 , 97.69095943445261 , 216.03280822160767 , 0.09164455533027649 , 1.0027333498001099 , -0.13280674815177917
20190805 20:00 , -118.323411 , 33.893916 , AstroPiOTA , 38.746665954589844 , 35.37090301513672 , 1015.1875 , 354.78573326920883 , 97.65582494136206 , 214.9587336538665 , 0.09140210598707199 , 1.0010337829589844 , -0.1340118944644928
20190805 20:30 , -118.323411 , 33.893916 , AstroPiOTA , 37.84833526611328 , 34.981788635253906 , 1015.2333984375 , 354.9187708400887 , 97.67490165971391 , 215.96498444314946 , 0.08897764980792999 , 1.00224769115448 , -0.13521704077720642
20190805 21:00 , -118.323411 , 33.893916 , AstroPiOTA , 37.05999755859375 , 34.80001449584961 , 1015.541748046875 , 354.94147737709756 , 97.71619698343581 , 215.1461403843133 , 0.08946254104375839 , 1.0007909536361694 , -0.13521704077720642
20190805 21:30 , -118.323411 , 33.893916 , AstroPiOTA , 36.5099983215332 , 34.25184631347656 , 1015.78857421875 , 354.95744593249026 , 97.58173787943493 , 215.39795579863332 , 0.08970499038696289 , 1.0010337829589844 , -0.13449394702911377
20190805 22:00 , -118.323411 , 33.893916 , AstroPiOTA , 36.01499938964844 , 33.86841583251953 , 1016.196533203125 , 355.0433936179111 , 97.71374494552377 , 215.03144784777044 , 0.0875229761004448 , 0.9993342161178589 , -0.13425292074680328
20190805 22:30 , -118.323411 , 33.893916 , AstroPiOTA , 35.31833267211914 , 34.40806198120117 , 1016.3388671875 , 355.09866863131674 , 97.56089897227722 , 214.26040145274604 , 0.0863107442855835 , 1.000305414199829 , -0.13136059045791626
